,Make,baseModel
0,AM General,DJ Po Vehicle
1,AM General,FJ8c Post Office
2,AM General,Post Office DJ5
3,AM General,Post Office DJ8
4,ASC Incorporated,GNX
5,Acura,CL
6,Acura,ILX
7,Acura,Integra
8,Acura,Legend
9,Acura,MDX
10,Acura,NSX
11,Acura,RDX
12,Acura,RL
13,Acura,RLX
14,Acura,RSX
15,Acura,SLX
16,Acura,TL
17,Acura,TLX
18,Acura,TSX
19,Acura,Vigor
20,Acura,ZDX
21,Alfa Romeo,164
22,Alfa Romeo,4C
23,Alfa Romeo,GT
24,Alfa Romeo,GTV
25,Alfa Romeo,Giulia
26,Alfa Romeo,Milano
27,Alfa Romeo,Spider
28,Alfa Romeo,Stelvio
29,Alfa Romeo,Tonale eAWD
30,American Motors Corporation,Eagle
31,Aston Martin,DB AR1
32,Aston Martin,DB-7 GT
33,Aston Martin,DB-7 Vantage
34,Aston Martin,DB11
35,Aston Martin,DB12 V8
36,Aston Martin,DB7
37,Aston Martin,DB9
38,Aston Martin,DBS
39,Aston Martin,DBX 707
40,Aston Martin,DBX V8
41,Aston Martin,Lagonda
42,Aston Martin,Rapide
43,Aston Martin,Saloon/Vantage/Volante
44,Aston Martin,Saloon/vantage/volante
45,Aston Martin,Valour
46,Aston Martin,Vanquish
47,Aston Martin,Vantage
48,Aston Martin,Vantage Manual
49,Aston Martin,Virage
50,Aston Martin,Virage/Volante
51,Audi,100
52,Audi,200
53,Audi,4000
54,Audi,5000
55,Audi,80/90
56,Audi,A3
57,Audi,A4
58,Audi,A5
59,Audi,A6
60,Audi,A7
61,Audi,A8
62,Audi,Allroad
63,Audi,Cabriolet
64,Audi,Coupe GT
65,Audi,Coupe quattro
66,Audi,Q3
67,Audi,Q4 e-tron
68,Audi,Q5
69,Audi,Q7
70,Audi,Q8
71,Audi,Q8 e-tron
72,Audi,Quattro
73,Audi,R8
74,Audi,R8 Spyder
75,Audi,RS
76,Audi,RS 3
77,Audi,RS 4
78,Audi,RS 5
79,Audi,RS 6
80,Audi,RS 7
81,Audi,RS Q8
82,Audi,RS e-tron GT
83,Audi,S3
84,Audi,S4
85,Audi,S5
86,Audi,S6
87,Audi,S7
88,Audi,S8
89,Audi,SQ5
90,Audi,SQ7
91,Audi,SQ8
92,Audi,SQ8 e-tron
93,Audi,TT
94,Audi,TT Coupe
95,Audi,TT RS
96,Audi,TT Roadster
97,Audi,TTS
98,Audi,TTS Coupe
99,Audi,V8
100,Audi,e-tron
101,Audi,e-tron GT
102,Audi,e-tron S
103,Aurora Cars Ltd,Aurora
104,Autokraft Limited,A.C.MARK IV
105,Autokraft Limited,A.C.Mkiv
106,Avanti Motor Corporation,Avanti II
107,Azure Dynamics,Transit Connect Electric Van/Wagon
108,BMW,1 Series
109,BMW,2 Series
110,BMW,3 Series
111,BMW,4 Series
112,BMW,5 Series
113,BMW,6 Series
114,BMW,7 Series
115,BMW,8 Series
116,BMW,Active E
117,BMW,ActiveHybrid X6
118,BMW,M
119,BMW,X1
120,BMW,X2
121,BMW,X3
122,BMW,X4
123,BMW,X5
124,BMW,X6
125,BMW,X7
126,BMW,XM
127,BMW,Z3
128,BMW,Z4
129,BMW,Z8
130,BMW,i3
131,BMW,i4
132,BMW,i5
133,BMW,i7
134,BMW,i8
135,BMW,iX
136,BMW Alpina,7 Series
137,BMW Alpina,Roadster
138,BYD,e6
139,Bentley,Arnage
140,Bentley,Azure
141,Bentley,Bentayga
142,Bentley,Brooklands
143,Bentley,Continental
144,Bentley,Continental Flying Spur
145,Bentley,Continental GT Convertible
146,Bentley,Continental Supersports
147,Bentley,Continental Supersports Convertible
148,Bentley,Flying Spur
149,Bentley,Mulsanne
