Make,baseModel,Model
alfa romeo,164,164
alfa romeo,4c,4c
alfa romeo,giulia,giulia
alfa romeo,gt,gt v6 2.5
alfa romeo,gtv,gtv
alfa romeo,alfetta,alfetta
alfa romeo,milano,milano
alfa romeo,spider,spider
alfa romeo,spider,spider veloce 2000
alfa romeo,stelvio,stelvio
alfa romeo,tonale eawd,tonale eawd
aston martin,db ar1,db ar1
aston martin,db-7 gt,db-7 gt coupe
aston martin,db-7 gt,db-7 gt volante
aston martin,db-7 vantage,db-7 vantage coupe
aston martin,db-7 vantage,db-7 vantage volante
aston martin,db11,db11
aston martin,db12,db12
aston martin,db7,db7
aston martin,db9,db9
aston martin,dbs,dbs
aston martin,dbx,dbx
aston martin,lagonda,lagonda
aston martin,rapide,rapide
aston martin,valour,valour
aston martin,vanquish,v12 vanquish
aston martin,vanquish,vanquish
aston martin,vantage,v12 vantage
aston martin,vantage,v8 vantage
aston martin,vantage,vantage
aston martin,vantage,vantage v12
aston martin,vantage,vantage v8
aston martin,virage,virage
audi,100,100
audi,100,100 quattro
audi,100,100 quattro wagon
audi,100,100 wagon
audi,200,200
audi,200,200 quattro
audi,200,200 quattro 20v
audi,200,200 quattro 20v wagon
audi,200,200 quattro wagon
audi,4000,4000
audi,4000,4000 cs quattro
audi,4000,4000 s
audi,4000,4000 s quattro
audi,4000,4000s
audi,4000,4000s quattro
audi,5000,5000 cs quattro
audi,5000,5000 cs quattro wagon
audi,5000,5000 cs turbo
audi,5000,5000 s
audi,5000,5000 s quattro
audi,5000,5000s
audi,5000,5000s wagon
audi,80/90,80
audi,80/90,80 quattro
audi,80/90,80/90
audi,80/90,80/90 quattro
audi,80/90,90
audi,80/90,90 quattro
audi,80/90,90 quattro 20v
audi,a1,a1
audi,a3,a3
audi,a4,a4
audi,a5,a5
audi,a6,a6
audi,a7,a7
audi,a8,a8
audi,allroad,allroad
audi,allroad,allroad quattro
audi,cabriolet,cabriolet
audi,coupe gt,coupe gt
audi,coupe quattro,coupe quattro
audi,e-tron,e-tron
audi,q2,q2
audi,q3,q3
audi,q4,q4
audi,q5,q5
audi,q7,q7
audi,q8,q8
audi,quattro,quattro
audi,r8,r8
audi,rs,rs 3
audi,rs,rs 4
audi,rs,rs 5
audi,rs,rs 6
audi,rs,rs 7
audi,s3,s3
audi,s4,s4
audi,s5,s5
audi,s6,s6
audi,s7,s7
audi,s8,s8
audi,sq5,sq5
audi,sq7,sq7
audi,sq8,sq8
audi,sq8 e-tron,sq8 e-tron (20 inch wheels)
audi,sq8 e-tron,sq8 e-tron (21/22 inch wheels)
audi,sq8 e-tron,sq8 sportback e-tron (20 inch wheels)
audi,sq8 e-tron,sq8 sportback e-tron (21/22 inch wheels)
audi,tt,tt
audi,tts,tts
audi,v8,v8
bentley,arnage,arnage
bentley,arnage,arnage lwb
bentley,arnage,arnage rl
bentley,azure,azure
bentley,bentayga,bentayga
bentley,brooklands,brooklands
bentley,continental,continental
bentley,flying spur,flying spur
bentley,mulsanne,mulsanne
bentley,mulsanne,mulsanne ewb
bentley,turbo rt,turbo rt
bmw,1 series,1m
bmw,1 series,116
bmw,1 series,118
bmw,1 series,120
bmw,1 series,125
bmw,1 series,128
bmw,1 series,135
bmw,2 series,216
bmw,2 series,218
bmw,2 series,220
bmw,2 series,228
bmw,2 series,225
bmw,2 series,230
bmw,3 series,316
bmw,3 series,318
bmw,3 series,320
bmw,3 series,323
bmw,3 series,325
bmw,3 series,328
bmw,3 series,330
bmw,3 series,335
bmw,3 series,340
bmw,3 series,activehybrid 3
bmw,4 series,420
bmw,4 series,428
bmw,4 series,430
bmw,4 series,435
bmw,4 series,440
bmw,5 series,activehybrid 4
bmw,5 series,520
bmw,5 series,520
bmw,5 series,523
bmw,5 series,525
bmw,5 series,528
bmw,5 series,530
bmw,5 series,535
bmw,5 series,540
bmw,5 series,545
bmw,5 series,550
bmw,5 series,activehybrid 5
bmw,6 series,630
bmw,6 series,635
bmw,6 series,640
bmw,6 series,645
bmw,6 series,650
bmw,6 series,alpina b6
bmw,7 series,730
bmw,7 series,735
bmw,7 series,740
bmw,7 series,745
bmw,7 series,750
bmw,7 series,760
bmw,7 series,activehybrid 7
bmw,7 series,alpina b7
bmw,7 series,m760
bmw,8 series,840
bmw,8 series,850
bmw,active e,active e
bmw,activehybrid x6,activehybrid x6
bmw,i3,i3
bmw,i4,i4
bmw,i5,i5
bmw,i7,i7
bmw,i8,i8
bmw,m,m1
bmw,m,m2
bmw,m,m3
bmw,m,m4
bmw,m,m5
bmw,m,m6
bmw,m,m7
bmw,m,m8
bmw,m,x5
bmw,m,x6
bmw,x1,x1
bmw,x2,x2
bmw,x3,x3
bmw,x4,x4
bmw,x5,x5
bmw,x6,x6
bmw,x7,x7
bmw,xm,xm
bmw,z3,z3
bmw,z4,z4
bmw,z8,z8
bugatti,chiron,chiron
bugatti,chiron,chiron pur sport
bugatti,chiron,chiron super sport
bugatti,divo,divo
bugatti,veyron,veyron
buick,cascada,cascada
buick,century,century
buick,century estate wagon,century estate wagon
buick,century wagon,century wagon
buick,coachbuilder wagon,coachbuilder wagon
