Make,baseModel,Model
alfa romeo,164,164
alfa romeo,4c,4c
alfa romeo,giulia,giulia
alfa romeo,giulia,giulia awd
alfa romeo,gt,gt v6 2.5
alfa romeo,gtv,gtv
alfa romeo,milano,milano
alfa romeo,spider,8 c spider
alfa romeo,spider,spider
alfa romeo,spider,spider veloce 2000
alfa romeo,stelvio,stelvio
alfa romeo,stelvio,stelvio awd
alfa romeo,tonale eawd,tonale eawd
alpine,a110,a110
aston martin,db ar1,db ar1
aston martin,db-7 gt,db-7 gt coupe
aston martin,db-7 gt,db-7 gt volante
aston martin,db-7 vantage,db-7 vantage coupe
aston martin,db-7 vantage,db-7 vantage volante
aston martin,db11,db11 v12
aston martin,db11,db11 v8
aston martin,db12 v8,db12 v8
aston martin,db7,db7 coupe
aston martin,db7,db7 volante
aston martin,db9,db9
aston martin,db9,db9 coupe
aston martin,db9,db9 volante
aston martin,dbs,dbs
aston martin,dbx 707,dbx 707
aston martin,dbx v8,dbx v8
aston martin,lagonda,lagonda
aston martin,rapide,rapide
aston martin,valour,valour
aston martin,vanquish,v12 vanquish
aston martin,vanquish,vanquish
aston martin,vanquish,vanquish s
aston martin,vantage,v12 vantage
aston martin,vantage,v8 vantage
aston martin,vantage,vantage
aston martin,vantage,vantage v12
aston martin,vantage,vantage v8
aston martin,virage,virage
audi,100,100
audi,100,100 quattro
audi,100,100 quattro wagon
audi,100,100 wagon
audi,200,200
audi,200,200 quattro
audi,200,200 quattro 20v
audi,200,200 quattro 20v wagon
audi,200,200 quattro wagon
audi,4000,4000
audi,4000,4000 cs quattro
audi,4000,4000 s
audi,4000,4000 s quattro
audi,4000,4000s
audi,4000,4000s quattro
audi,5000,5000 cs quattro
audi,5000,5000 cs quattro wagon
audi,5000,5000 cs turbo
audi,5000,5000 s
audi,5000,5000 s quattro
audi,5000,5000s
audi,5000,5000s wagon
audi,80/90,80
audi,80/90,80 quattro
audi,80/90,80/90
audi,80/90,80/90 quattro
audi,80/90,90
audi,80/90,90 quattro
audi,80/90,90 quattro 20v
audi,a1,a1
audi,a3,a3
audi,a4,a4
audi,a5,a5
audi,a6,a6
audi,a7,a7
audi,a8,a8
audi,allroad,allroad
audi,allroad,allroad quattro
audi,cabriolet,cabriolet
audi,coupe gt,coupe gt
audi,coupe quattro,coupe quattro
audi,e-tron,e-tron
audi,q3,q3
audi,q4,q4
audi,q5,q5
audi,q7,q7
audi,q8,q8
audi,quattro,quattro
audi,r8,r8
audi,rs,rs 3
audi,rs,rs 4
audi,rs,rs 5
audi,rs,rs 6
audi,rs,rs 7
audi,s3,s3
audi,s4,s4
audi,s5,s5
audi,s6,s6
audi,s7,s7
audi,s8,s8
audi,sq5,sq5
audi,sq7,sq7
audi,sq8,sq8
audi,sq8 e-tron,sq8 e-tron (20 inch wheels)
audi,sq8 e-tron,sq8 e-tron (21/22 inch wheels)
audi,sq8 e-tron,sq8 sportback e-tron (20 inch wheels)
audi,sq8 e-tron,sq8 sportback e-tron (21/22 inch wheels)
audi,tt,tt
audi,tt,tt coupe
audi,tt,tt rs
audi,tt,tt roadster
audi,tts,tts coupe
audi,v8,v8
aurora cars ltd,aurora,aurora
autokraft limited,a.c.mark iv,a.c.mark iv
autokraft limited,a.c.mkiv,a.c.mkiv
avanti motor corporation,avanti ii,avanti ii
azure dynamics,transit connect electric van/wagon,transit connect electric van/wagon
bentley,arnage,arnage
bentley,arnage,arnage lwb
bentley,arnage,arnage rl
bentley,azure,azure
bentley,bentayga,bentayga
bentley,bentayga,bentayga ewb
bentley,bentayga,bentayga hybrid
bentley,bentayga,bentayga speed
bentley,brooklands,brooklands
bentley,brooklands,brooklands r
bentley,brooklands,brooklands r limo
bentley,continental,continental gt
bentley,continental,continental gt convertible
bentley,continental,continental gt convertible speed
bentley,continental,continental gt speed
bentley,continental,continental gt speed convertible
bentley,continental,continental gt v8 convertible
bentley,continental,continental gt3-r
bentley,continental,continental gtc
bentley,continental,continental r
bentley,continental,continental sc
bentley,continental,continental t
bentley,continental flying spur,continental flying spur
bentley,continental gt convertible,continental gt convertible
bentley,continental gt convertible,continental gt speed convertible
bentley,continental supersports,continental supersports
bentley,continental supersports convertible,continental supersports convertible
bentley,flying spur,flying spur
bentley,flying spur,flying spur hybrid
bentley,mulsanne,mulsanne
bentley,mulsanne,mulsanne ewb
bentley,turbo rt,turbo rt
bertone,x1/9,x1/9
bill dovell motor car company,dovell 230ce,dovell 230ce
bill dovell motor car company,dovell 230e,dovell 230e
bitter gmbh and co. kg,bitter sc,bitter sc
bitter gmbh and co. kg,sc,sc
bmw,1 series,116i
bmw,1 series,118i
bmw,1 series,128i
bmw,1 series,135i
bmw,1 series,m135i
bmw,2 series,216i
bmw,2 series,216d
bmw,2 series,218i
bmw,2 series,218d
bmw,2 series,220i
bmw,2 series,228i
bmw,2 series,225xe
bmw,2 series,230i
bmw,2 series,m235i
bmw,2 series,m240i
bmw,3 series,318i
bmw,3 series,320i
bmw,3 series,323ci
bmw,3 series,323i
bmw,3 series,323is
bmw,3 series,325ci
bmw,3 series,325i
bmw,3 series,325ic
bmw,3 series,325is
